旧等级ID,旧等级名称,对应组别ID,对应组别名称,对应新服务等级ID,对应新服务等级名称,对应新服务人返利系数
1914250,商户通_资金渠道_内部专职-03,163,商户通_资金渠道_内部专职,6,06,0.75
1914251,商户通_资金渠道_内部专职-04,163,商户通_资金渠道_内部专职,8,08,1
1914252,商户通_资金渠道_外部渠道-01,164,商户通_资金渠道_外部渠道,2,02,0.1
1914253,商户通_资金渠道_外部渠道-02,164,商户通_资金渠道_外部渠道,4,04,0.25
1914254,商户通_资金渠道_外部渠道-03,164,商户通_资金渠道_外部渠道,5,05,0.5
1914255,商户通_资金渠道_外部渠道-04,164,商户通_资金渠道_外部渠道,6,06,0.75
1914256,商户通_资金渠道_外部渠道-05,164,商户通_资金渠道_外部渠道,8,08,1
1914257,商户通_资金渠道_外部菁英-01,165,商户通_资金渠道_外部菁英,2,02,0.1
1914258,商户通_资金渠道_外部菁英-02,165,商户通_资金渠道_外部菁英,4,04,0.25
1914259,商户通_资金渠道_外部菁英-03,165,商户通_资金渠道_外部菁英,5,05,0.5
1914260,商户通_资金渠道_外部菁英-04,165,商户通_资金渠道_外部菁英,6,06,0.75
1914261,商户通_资金渠道_外部菁英-05,165,商户通_资金渠道_外部菁英,8,08,1
1946455,联合智信_资金渠道_外部菁英（终止合作）-01,73,联合智信_资金渠道_外部菁英（终止合作）,2,02,0.1
1946456,联合智信_资金渠道_外部菁英（终止合作）-02,73,联合智信_资金渠道_外部菁英（终止合作）,4,04,0.25
1946457,联合智信_资金渠道_外部菁英（终止合作）-03,73,联合智信_资金渠道_外部菁英（终止合作）,5,05,0.5
1946458,联合智信_资金渠道_外部菁英（终止合作）-04,73,联合智信_资金渠道_外部菁英（终止合作）,6,06,0.75
1946459,AA租车_资金渠道_普通员工（终止合作）-01,104,AA租车_资金渠道_普通员工（终止合作）,4,04,0.25
1946460,AA租车_资金渠道_普通员工（终止合作）-02,104,AA租车_资金渠道_普通员工（终止合作）,5,05,0.5
1946461,AA租车_资金渠道_普通员工（终止合作）-03,104,AA租车_资金渠道_普通员工（终止合作）,6,06,0.75
1946462,宜投基金_资金渠道_内部专职（终止合作）-01,106,宜投基金_资金渠道_内部专职（终止合作）,4,04,0.25
1946463,宜投基金_资金渠道_内部专职（终止合作）-02,106,宜投基金_资金渠道_内部专职（终止合作）,5,05,0.5
1946464,宜投基金_资金渠道_内部专职（终止合作）-03,106,宜投基金_资金渠道_内部专职（终止合作）,6,06,0.75
1946465,内蒙古开元_资金渠道_内部专职（终止合作）-01,107,内蒙古开元_资金渠道_内部专职（终止合作）,4,04,0.25
1946466,内蒙古开元_资金渠道_内部专职（终止合作）-02,107,内蒙古开元_资金渠道_内部专职（终止合作）,5,05,0.5
1946467,内蒙古开元_资金渠道_内部专职（终止合作）-03,107,内蒙古开元_资金渠道_内部专职（终止合作）,6,06,0.75
1949023,凤凰文化_资金渠道_外部菁英（终止合作）-01,99,凤凰文化_资金渠道_外部菁英（终止合作）,2,02,0.1
1949024,凤凰文化_资金渠道_外部菁英（终止合作）-02,99,凤凰文化_资金渠道_外部菁英（终止合作）,4,04,0.25
1949025,凤凰文化_资金渠道_外部菁英（终止合作）-03,99,凤凰文化_资金渠道_外部菁英（终止合作）,5,05,0.5
1949026,凤凰文化_资金渠道_外部菁英（终止合作）-04,99,凤凰文化_资金渠道_外部菁英（终止合作）,6,06,0.75
1958736,财富精英_资金渠道_内部专职（终止合作）-01,103,财富精英_资金渠道_内部专职（终止合作）,4,04,0.25
1958737,财富精英_资金渠道_内部专职（终止合作）-02,103,财富精英_资金渠道_内部专职（终止合作）,5,05,0.5
1958738,财富精英_资金渠道_内部专职（终止合作）-03,103,财富精英_资金渠道_内部专职（终止合作）,6,06,0.75
1958739,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）-01,28,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）,4,04,0.25
1958740,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）-02,28,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）,5,05,0.5
1958741,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）-03,28,Griffin Plutus Family Office_资金渠道_内部专职（终止合作）,6,06,0.75
1958742,网信财富_资金渠道_内部专职（终止合作）-01,98,网信财富_资金渠道_内部专职（终止合作）,4,04,0.25
1958743,网信财富_资金渠道_内部专职（终止合作）-02,98,网信财富_资金渠道_内部专职（终止合作）,5,05,0.5
1958744,网信财富_资金渠道_内部专职（终止合作）-03,98,网信财富_资金渠道_内部专职（终止合作）,6,06,0.75
1958745,弘达财富_资金渠道_内部专职（弘达）-01,100,弘达财富_资金渠道_内部专职（弘达）,4,04,0.25
1958746,弘达财富_资金渠道_内部专职（弘达）-02,100,弘达财富_资金渠道_内部专职（弘达）,5,05,0.5
1958747,弘达财富_资金渠道_内部专职（弘达）-03,100,弘达财富_资金渠道_内部专职（弘达）,6,06,0.75
1958748,弘达财富_资金渠道_普通员工-01,166,弘达财富_资金渠道_普通员工,4,04,0.25
1958749,弘达财富_资金渠道_普通员工-02,166,弘达财富_资金渠道_普通员工,5,05,0.5
1958750,弘达财富_资金渠道_普通员工-03,166,弘达财富_资金渠道_普通员工,6,06,0.75
1958751,弘达财富_资金渠道_普通员工-04,166,弘达财富_资金渠道_普通员工,8,08,1
1958752,联合黄金_资金渠道_普通员工（终止合作）-01,167,联合黄金_资金渠道_普通员工（终止合作）,4,04,0.25
1958753,联合黄金_资金渠道_普通员工（终止合作）-02,167,联合黄金_资金渠道_普通员工（终止合作）,5,05,0.5
1958754,联合黄金_资金渠道_普通员工（终止合作）-03,167,联合黄金_资金渠道_普通员工（终止合作）,6,06,0.75
1958755,联合黄金_资金渠道_普通员工（终止合作）-04,167,联合黄金_资金渠道_普通员工（终止合作）,8,08,1
1958756,联合黄金_资金渠道_内部专职（终止合作）-01,25,联合黄金_资金渠道_内部专职（终止合作）,4,04,0.25
1958757,联合黄金_资金渠道_内部专职（终止合作）-02,25,联合黄金_资金渠道_内部专职（终止合作）,5,05,0.5
1958758,联合黄金_资金渠道_内部专职（终止合作）-03,25,联合黄金_资金渠道_内部专职（终止合作）,6,06,0.75
1958759,联合宜汇_资金渠道_普通员工（终止合作）-01,168,联合宜汇_资金渠道_普通员工（终止合作）,4,04,0.25
1958760,联合宜汇_资金渠道_普通员工（终止合作）-02,168,联合宜汇_资金渠道_普通员工（终止合作）,5,05,0.5
1958761,联合宜汇_资金渠道_普通员工（终止合作）-03,168,联合宜汇_资金渠道_普通员工（终止合作）,6,06,0.75
1958762,联合宜汇_资金渠道_普通员工（终止合作）-04,168,联合宜汇_资金渠道_普通员工（终止合作）,8,08,1
1958763,联合宜汇_资金渠道_内部专职（终止合作）-01,26,联合宜汇_资金渠道_内部专职（终止合作）,4,04,0.25
1958764,联合宜汇_资金渠道_内部专职（终止合作）-02,26,联合宜汇_资金渠道_内部专职（终止合作）,5,05,0.5
1958765,联合宜汇_资金渠道_内部专职（终止合作）-03,26,联合宜汇_资金渠道_内部专职（终止合作）,6,06,0.75
1958766,联合中瑞_资金渠道_普通员工（中瑞）（终止合作）-01,169,联合中瑞_资金渠道_普通员工（中瑞）（终止合作）,4,04,0.25
1958767,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）-02,32,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）,5,05,0.5
1958768,联合中瑞_资金渠道_普通员工（中瑞）（终止合作）-03,169,联合中瑞_资金渠道_普通员工（中瑞）（终止合作）,6,06,0.75
1958769,联合中瑞_资金渠道_普通员工（中瑞）（终止合作）-04,169,联合中瑞_资金渠道_普通员工（中瑞）（终止合作）,8,08,1
1958770,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）-01,32,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）,4,04,0.25
1958771,联合中瑞_资金渠道_普通员工（中瑞）（终止合作）-02,169,联合中瑞_资金渠道_普通员工（中瑞）（终止合作）,5,05,0.5
1958772,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）-03,32,联合中瑞_资金渠道_内部专职（中瑞）（终止合作）,6,06,0.75
