旧等级ID,旧等级名称,对应组别ID,对应组别名称,对应新服务等级ID,对应新服务等级名称,对应新服务人返利系数
2008682,村银贷_资金渠道_外部渠道（终止合作）-03,177,村银贷_资金渠道_外部渠道（终止合作）,5,05,0.5
2008683,村银贷_资金渠道_外部渠道（终止合作）-04,177,村银贷_资金渠道_外部渠道（终止合作）,6,06,0.75
2008684,村银贷_资金渠道_外部渠道（终止合作）-05,177,村银贷_资金渠道_外部渠道（终止合作）,8,08,1
2014817,东莞贷_资金渠道_普通员工（终止合作）-02,157,东莞贷_资金渠道_普通员工（终止合作）,5,05,0.5
2014818,东莞贷_资金渠道_普通员工（终止合作）-03,157,东莞贷_资金渠道_普通员工（终止合作）,6,06,0.75
2015330,东莞贷_资金渠道_内部专职（终止合作）-01,89,东莞贷_资金渠道_内部专职（终止合作）,4,04,0.25
2015331,东莞贷_资金渠道_内部专职（终止合作）-02,89,东莞贷_资金渠道_内部专职（终止合作）,5,05,0.5
2015332,东莞贷_资金渠道_内部专职（终止合作）-03,89,东莞贷_资金渠道_内部专职（终止合作）,6,06,0.75
2015333,东莞贷_资金渠道_外部菁英（终止合作）-01,158,东莞贷_资金渠道_外部菁英（终止合作）,2,02,0.1
2015334,东莞贷_资金渠道_外部菁英（终止合作）-02,158,东莞贷_资金渠道_外部菁英（终止合作）,4,04,0.25
2015335,东莞贷_资金渠道_外部菁英（终止合作）-03,158,东莞贷_资金渠道_外部菁英（终止合作）,5,05,0.5
2015336,东莞贷_资金渠道_外部菁英（终止合作）-04,158,东莞贷_资金渠道_外部菁英（终止合作）,6,06,0.75
2016870,东莞贷_资金渠道_外部渠道（终止合作）-01,178,东莞贷_资金渠道_外部渠道（终止合作）,2,02,0.1
2016871,东莞贷_资金渠道_外部渠道（终止合作）-02,178,东莞贷_资金渠道_外部渠道（终止合作）,4,04,0.25
2016872,东莞贷_资金渠道_外部渠道（终止合作）-03,178,东莞贷_资金渠道_外部渠道（终止合作）,5,05,0.5
2016873,东莞贷_资金渠道_外部渠道（终止合作）-04,178,东莞贷_资金渠道_外部渠道（终止合作）,6,06,0.75
2016874,东莞贷_资金渠道_外部渠道（终止合作）-05,178,东莞贷_资金渠道_外部渠道（终止合作）,8,08,1
2016875,网信白泽_资金渠道_外部渠道（济南-存量）-11,159,网信白泽_资金渠道_外部渠道（济南-存量）,5,05,0.5
2016876,网信白泽_资金渠道_外部渠道（济南-存量）-23,159,网信白泽_资金渠道_外部渠道（济南-存量）,2,02,0.1
2016877,网信白泽_资金渠道_外部渠道（大连-存量）-02,91,网信白泽_资金渠道_外部渠道（大连-存量）,8,08,1
2016878,网信白泽_资金渠道_外部渠道（大连-存量）-11,91,网信白泽_资金渠道_外部渠道（大连-存量）,5,05,0.5
2016879,网信白泽_资金渠道_外部渠道（大连-存量）-23,91,网信白泽_资金渠道_外部渠道（大连-存量）,2,02,0.1
2016880,网信白泽_资金渠道_外部渠道（沈阳-存量）-01,160,网信白泽_资金渠道_外部渠道（沈阳-存量）,2,02,0.1
2016881,网信白泽_资金渠道_外部渠道（沈阳-存量）-02,160,网信白泽_资金渠道_外部渠道（沈阳-存量）,8,08,1
2016882,网信白泽_资金渠道_外部渠道（沈阳-存量）-11,160,网信白泽_资金渠道_外部渠道（沈阳-存量）,5,05,0.5
2016883,网信白泽_资金渠道_外部渠道（沈阳-存量）-23,160,网信白泽_资金渠道_外部渠道（沈阳-存量）,2,02,0.1
2016884,网信白泽_资金渠道_外部渠道（宁波-存量）-01,179,网信白泽_资金渠道_外部渠道（宁波-存量）,2,02,0.1
2016885,网信白泽_资金渠道_外部渠道（宁波-存量）-02,179,网信白泽_资金渠道_外部渠道（宁波-存量）,8,08,1
2016886,网信白泽_资金渠道_外部渠道（宁波-存量）-11,179,网信白泽_资金渠道_外部渠道（宁波-存量）,5,05,0.5
2016887,网信白泽_资金渠道_外部渠道（宁波-存量）-23,179,网信白泽_资金渠道_外部渠道（宁波-存量）,2,02,0.1
2016888,网信白泽_资金渠道_外部渠道（宁波-存量）-26,179,网信白泽_资金渠道_外部渠道（宁波-存量）,1,01,0
2034000,网信白泽_开放平台_CPS（二部）-04,180,网信白泽_开放平台_CPS（二部）,8,08,1
2804078,联合财富_资金渠道_内部专职（内部专职）-04,12,联合财富_资金渠道_内部专职（内部专职）,5,05,0.5
2902191,网信众利_资金渠道_外部渠道（终止合作）-05,181,网信众利_资金渠道_外部渠道（终止合作）,8,08,1
2949206,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）-01,182,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）,2,02,0.1
2949207,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）-02,182,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）,4,04,0.25
2949208,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）-03,182,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）,5,05,0.5
2949209,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）-04,182,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）,6,06,0.75
2949210,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）-05,182,联合中瑞_资金渠道_外部菁英（红包组）（终止合作）,8,08,1
2949211,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）-01,183,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）,2,02,0.1
2949212,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）-02,183,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）,4,04,0.25
2949213,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）-03,183,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）,5,05,0.5
2949214,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）-04,183,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）,6,06,0.75
2949215,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）-05,183,联合中瑞_资金渠道_外部菁英（中瑞）（终止合作）,8,08,1
2956881,弘达财富_资金渠道_外部菁英（弘达）-01,184,弘达财富_资金渠道_外部菁英（弘达）,2,02,0.1
2956882,弘达财富_资金渠道_外部菁英（弘达）-02,184,弘达财富_资金渠道_外部菁英（弘达）,4,04,0.25
2956883,弘达财富_资金渠道_外部菁英（弘达）-03,184,弘达财富_资金渠道_外部菁英（弘达）,5,05,0.5
2956884,弘达财富_资金渠道_外部菁英（弘达）-04,184,弘达财富_资金渠道_外部菁英（弘达）,6,06,0.75
2956885,弘达财富_资金渠道_外部菁英（弘达）-05,184,弘达财富_资金渠道_外部菁英（弘达）,8,08,1
2958419,弘达财富_资金渠道_外部渠道-01,185,弘达财富_资金渠道_外部渠道,2,02,0.1
2958420,弘达财富_资金渠道_外部渠道-02,185,弘达财富_资金渠道_外部渠道,4,04,0.25
2958421,弘达财富_资金渠道_外部渠道-03,185,弘达财富_资金渠道_外部渠道,5,05,0.5
2960977,弘达财富_资金渠道_外部渠道-04,185,弘达财富_资金渠道_外部渠道,6,06,0.75
2960978,弘达财富_资金渠道_外部渠道-05,185,弘达财富_资金渠道_外部渠道,8,08,1
2966089,网信财富_资金渠道_外部渠道（终止合作）-01,186,网信财富_资金渠道_外部渠道（终止合作）,2,02,0.1
2966090,网信财富_资金渠道_外部渠道（终止合作）-02,186,网信财富_资金渠道_外部渠道（终止合作）,4,04,0.25
2968646,网信财富_资金渠道_外部渠道（终止合作）-03,186,网信财富_资金渠道_外部渠道（终止合作）,5,05,0.5
2968647,网信财富_资金渠道_外部渠道（终止合作）-04,186,网信财富_资金渠道_外部渠道（终止合作）,6,06,0.75
2968648,网信财富_资金渠道_外部渠道（终止合作）-05,186,网信财富_资金渠道_外部渠道（终止合作）,8,08,1
2968649,网信财富_资金渠道_外部菁英（终止合作）-01,187,网信财富_资金渠道_外部菁英（终止合作）,2,02,0.1
2968650,网信财富_资金渠道_外部菁英（终止合作）-02,187,网信财富_资金渠道_外部菁英（终止合作）,4,04,0.25
2968651,网信财富_资金渠道_外部菁英（终止合作）-03,187,网信财富_资金渠道_外部菁英（终止合作）,5,05,0.5
2968652,网信财富_资金渠道_外部菁英（终止合作）-04,187,网信财富_资金渠道_外部菁英（终止合作）,6,06,0.75
2968653,网信财富_资金渠道_外部菁英（终止合作）-05,187,网信财富_资金渠道_外部菁英（终止合作）,8,08,1
2969165,网信财富_资金渠道_普通员工（终止合作）-01,188,网信财富_资金渠道_普通员工（终止合作）,4,04,0.25
2969166,网信财富_资金渠道_普通员工（终止合作）-02,188,网信财富_资金渠道_普通员工（终止合作）,5,05,0.5
2969167,网信财富_资金渠道_普通员工（终止合作）-03,188,网信财富_资金渠道_普通员工（终止合作）,6,06,0.75
2969168,网信财富_资金渠道_普通员工（终止合作）-04,188,网信财富_资金渠道_普通员工（终止合作）,8,08,1
3122107,产融贷(汇源金控)_资金渠道_普通员工-01,189,产融贷(汇源金控)_资金渠道_普通员工,4,04,0.25
3122108,产融贷(汇源金控)_资金渠道_普通员工-02,189,产融贷(汇源金控)_资金渠道_普通员工,5,05,0.5
3122109,产融贷(汇源金控)_资金渠道_普通员工-03,189,产融贷(汇源金控)_资金渠道_普通员工,6,06,0.75
3122110,产融贷(汇源金控)_资金渠道_普通员工-04,189,产融贷(汇源金控)_资金渠道_普通员工,8,08,1
3122111,产融贷(汇源金控)_资金渠道_内部专职-01,190,产融贷(汇源金控)_资金渠道_内部专职,4,04,0.25
3122112,产融贷(汇源金控)_资金渠道_内部专职-02,190,产融贷(汇源金控)_资金渠道_内部专职,5,05,0.5
3122113,产融贷(汇源金控)_资金渠道_内部专职-03,190,产融贷(汇源金控)_资金渠道_内部专职,6,06,0.75
3122114,产融贷(汇源金控)_资金渠道_内部专职-04,190,产融贷(汇源金控)_资金渠道_内部专职,8,08,1
3122115,产融贷(汇源金控)_资金渠道_外部菁英-01,191,产融贷(汇源金控)_资金渠道_外部菁英,2,02,0.1
3122116,产融贷(汇源金控)_资金渠道_外部菁英-02,191,产融贷(汇源金控)_资金渠道_外部菁英,4,04,0.25
3122117,产融贷(汇源金控)_资金渠道_外部菁英-03,191,产融贷(汇源金控)_资金渠道_外部菁英,5,05,0.5
3122118,产融贷(汇源金控)_资金渠道_外部菁英-04,191,产融贷(汇源金控)_资金渠道_外部菁英,6,06,0.75
3122119,产融贷(汇源金控)_资金渠道_外部菁英-05,191,产融贷(汇源金控)_资金渠道_外部菁英,8,08,1
3122120,产融贷(汇源金控)_资金渠道_外部渠道-01,192,产融贷(汇源金控)_资金渠道_外部渠道,2,02,0.1
3122121,产融贷(汇源金控)_资金渠道_外部渠道-02,192,产融贷(汇源金控)_资金渠道_外部渠道,4,04,0.25
3122122,产融贷(汇源金控)_资金渠道_外部渠道-03,192,产融贷(汇源金控)_资金渠道_外部渠道,5,05,0.5
3122123,产融贷(汇源金控)_资金渠道_外部渠道-04,192,产融贷(汇源金控)_资金渠道_外部渠道,6,06,0.75
3122124,产融贷(汇源金控)_资金渠道_外部渠道-05,192,产融贷(汇源金控)_资金渠道_外部渠道,8,08,1
3847907,致联新能源_开放平台_CPA+S-29,193,致联新能源_开放平台_CPA+S,1,01,0
4427426,网信白泽_开放平台_CPA+CPS（二部-存量）-26,194,网信白泽_开放平台_CPA+CPS（二部-存量）,1,01,0
4427427,网信白泽_开放平台_CPA+CPS（二部-存量）-11,194,网信白泽_开放平台_CPA+CPS（二部-存量）,5,05,0.5
4427428,网信白泽_开放平台_CPA+CPS（二部-存量）-23,194,网信白泽_开放平台_CPA+CPS（二部-存量）,2,02,0.1
4427429,网信白泽_开放平台_CPA+CPS（二部-存量）-02,194,网信白泽_开放平台_CPA+CPS（二部-存量）,8,08,1
4467834,众筹网_资金渠道_普通员工（终止合作）-01,195,众筹网_资金渠道_普通员工（终止合作）,4,04,0.25
4467835,众筹网_资金渠道_普通员工（终止合作）-02,195,众筹网_资金渠道_普通员工（终止合作）,5,05,0.5
4467836,众筹网_资金渠道_普通员工（终止合作）-03,195,众筹网_资金渠道_普通员工（终止合作）,6,06,0.75
4467837,众筹网_资金渠道_普通员工（终止合作）-04,195,众筹网_资金渠道_普通员工（终止合作）,8,08,1
4467838,众筹网_资金渠道_内部专职（终止合作）-01,196,众筹网_资金渠道_内部专职（终止合作）,4,04,0.25
4467839,众筹网_资金渠道_内部专职（终止合作）-02,196,众筹网_资金渠道_内部专职（终止合作）,5,05,0.5
4467840,众筹网_资金渠道_内部专职（终止合作）-03,196,众筹网_资金渠道_内部专职（终止合作）,6,06,0.75
4467841,众筹网_资金渠道_内部专职（终止合作）-04,196,众筹网_资金渠道_内部专职（终止合作）,8,08,1
4467842,众筹网_资金渠道_外部渠道（终止合作）-01,197,众筹网_资金渠道_外部渠道（终止合作）,2,02,0.1
4467843,众筹网_资金渠道_外部渠道（终止合作）-02,197,众筹网_资金渠道_外部渠道（终止合作）,4,04,0.25
4467844,众筹网_资金渠道_外部渠道（终止合作）-03,197,众筹网_资金渠道_外部渠道（终止合作）,5,05,0.5
4467845,众筹网_资金渠道_外部渠道（终止合作）-04,197,众筹网_资金渠道_外部渠道（终止合作）,6,06,0.75
4467846,众筹网_资金渠道_外部渠道（终止合作）-05,197,众筹网_资金渠道_外部渠道（终止合作）,8,08,1
4467847,众筹网_资金渠道_外部菁英（终止合作）-01,198,众筹网_资金渠道_外部菁英（终止合作）,2,02,0.1
4467848,众筹网_资金渠道_外部菁英（终止合作）-02,198,众筹网_资金渠道_外部菁英（终止合作）,4,04,0.25
4467849,众筹网_资金渠道_外部菁英（终止合作）-03,198,众筹网_资金渠道_外部菁英（终止合作）,5,05,0.5
4467850,众筹网_资金渠道_外部菁英（终止合作）-04,198,众筹网_资金渠道_外部菁英（终止合作）,6,06,0.75
4467851,众筹网_资金渠道_外部菁英（终止合作）-05,198,众筹网_资金渠道_外部菁英（终止合作）,8,08,1
4488312,先锋支付_资金渠道_普通员工（北京总部）（终止合作）-05,199,先锋支付_资金渠道_普通员工（北京总部）（终止合作）,8,08,1
4765546,中恒信(微拍)_资金渠道_普通员工（终止合作）-01,200,中恒信(微拍)_资金渠道_普通员工（终止合作）,4,04,0.25
4765547,中恒信(微拍)_资金渠道_普通员工（终止合作）-02,200,中恒信(微拍)_资金渠道_普通员工（终止合作）,5,05,0.5
4765548,中恒信(微拍)_资金渠道_普通员工（终止合作）-03,200,中恒信(微拍)_资金渠道_普通员工（终止合作）,6,06,0.75
4765549,中恒信(微拍)_资金渠道_普通员工（终止合作）-04,200,中恒信(微拍)_资金渠道_普通员工（终止合作）,8,08,1
4804424,主站_平台_第三方渠道O2O-01,201,主站_平台_第三方渠道O2O,1,01,0
5290861,第一房贷_资金渠道_普通员工（后台员工）-01,126,第一房贷_资金渠道_普通员工（后台员工）,4,04,0.25
5290862,第一房贷_资金渠道_普通员工（后台员工）-02,126,第一房贷_资金渠道_普通员工（后台员工）,5,05,0.5
5290863,第一房贷_资金渠道_普通员工（后台员工）-03,126,第一房贷_资金渠道_普通员工（后台员工）,6,06,0.75
5290864,第一房贷_资金渠道_普通员工（后台员工）-04,126,第一房贷_资金渠道_普通员工（后台员工）,8,08,1
5662214,Externality_江西上饶_资金渠道_内部专职1级（终止合作）-05,202,Externality_江西上饶_资金渠道_内部专职1级（终止合作）,8,08,1
5662215,网信_平台用户_京都天和邀请码户-27,203,网信_平台用户_京都天和邀请码户,1,01,0
5693929,拍车365_资金渠道_内部专职（终止合作）-05,204,拍车365_资金渠道_内部专职（终止合作）,8,08,1
5765540,Externality_江西上饶_资金渠道_内部专职1级（终止合作）-04,202,Externality_江西上饶_资金渠道_内部专职1级（终止合作）,6,06,0.75
8249385,产融贷_O2O_汇源员工-01,205,产融贷_O2O_汇源员工,5,05,0.5
9422894,联合兑换_资金渠道_外部菁英-05,206,联合兑换_资金渠道_外部菁英,8,08,1
9733054,商户通_资金渠道_外部渠道（五星控股）-04,207,商户通_资金渠道_外部渠道（五星控股）,8,08,1
9733055,商户通_资金渠道_外部渠道（孩子王）-04,208,商户通_资金渠道_外部渠道（孩子王）,5,05,0.5
9733056,商户通_资金渠道_外部渠道（汇通达）-04,209,商户通_资金渠道_外部渠道（汇通达）,8,08,1
9733057,商户通_资金渠道_外部渠道（好享家）-04,210,商户通_资金渠道_外部渠道（好享家）,8,08,1
9733058,联合中瑞_资金渠道_外部菁英（规模组）（终止合作）-04,211,联合中瑞_资金渠道_外部菁英（规模组）（终止合作）,8,08,1
9733059,联合中瑞_资金渠道_外部菁英（兼职考核组）（终止合作）-04,212,联合中瑞_资金渠道_外部菁英（兼职考核组）（终止合作）,8,08,1
9767842,网信众利_资金渠道_内部专职（业务经理/主任）（终止合作）-01,213,网信众利_资金渠道_内部专职（业务经理/主任）（终止合作）,8,08,1
10048656,网信理财_平台用户_外滩网信邀请码户-27,214,网信理财_平台用户_外滩网信邀请码户,1,01,0
10048657,网信理财_平台用户_外滩网信邀请码户-02,214,网信理财_平台用户_外滩网信邀请码户,5,05,0.5
10048658,网信理财_平台用户_外滩网信邀请码户-03,214,网信理财_平台用户_外滩网信邀请码户,6,06,0.75
10048659,网信理财_平台用户_外滩网信邀请码户-04,214,网信理财_平台用户_外滩网信邀请码户,8,08,1
10049683,山东联合融资担保有限公司_资金渠道_普通员工（终止合作）-04,215,山东联合融资担保有限公司_资金渠道_普通员工（终止合作）,8,08,1
10832533,Externality_中易视野_资金渠道_内部专职（终止合作）-01,216,Externality_中易视野_资金渠道_内部专职（终止合作）,4,04,0.25
10832534,Externality_中易视野_资金渠道_内部专职（终止合作）-02,216,Externality_中易视野_资金渠道_内部专职（终止合作）,5,05,0.5
10832535,Externality_中易视野_资金渠道_内部专职（终止合作）-03,216,Externality_中易视野_资金渠道_内部专职（终止合作）,6,06,0.75
10832536,Externality_中易视野_资金渠道_内部专职（终止合作）-04,216,Externality_中易视野_资金渠道_内部专职（终止合作）,8,08,1
10850951,网信众利_资金渠道_外部菁英（兼职理财师）（终止合作）-01,217,网信众利_资金渠道_外部菁英（兼职理财师）（终止合作）,8,08,1
10850952,网信众利_资金渠道_普通员工（留存城市经理）（终止合作）-01,218,网信众利_资金渠道_普通员工（留存城市经理）（终止合作）,8,08,1
10850953,网信众利_资金渠道_普通员工（留存城市经理）（终止合作）-01,218,网信众利_资金渠道_普通员工（留存城市经理）（终止合作）,1,01,0
10851977,联合中瑞_资金渠道_内部专职（计数组专职）（终止合作）-01,219,联合中瑞_资金渠道_内部专职（计数组专职）（终止合作）,1,01,0
12412446,Externality_上海明瑰_资金渠道_内部专职（终止合作）-04,220,Externality_上海明瑰_资金渠道_内部专职（终止合作）,8,08,1
12413470,联合财富_资金渠道_外部菁英（兼职理财师）-04,221,联合财富_资金渠道_外部菁英（兼职理财师）,5,05,0.5
12414494,联合财富_资金渠道_内部专职（市场拓展专员）-04,222,联合财富_资金渠道_内部专职（市场拓展专员）,5,05,0.5
12414495,联合财富_资金渠道_外部菁英（离职理财师）-04,223,联合财富_资金渠道_外部菁英（离职理财师）,2,02,0.1
14068677,o2o_康鹏佳德员工-01,224,o2o_康鹏佳德员工,1,01,0
14235427,网信_资金渠道_普通员工-01,225,网信_资金渠道_普通员工,8,08,1
15712219,Externality_鑫亿宏元_资金渠道_外部菁英1级-04,226,Externality_鑫亿宏元_资金渠道_外部菁英1级,8,08,1
15712220,荣信汇_资金渠道_外部渠道（众信家）-04,227,荣信汇_资金渠道_外部渠道（众信家）,1,01,0
15712221,荣信汇_资金渠道_外部渠道（彩生活）-04,228,荣信汇_资金渠道_外部渠道（彩生活）,1,01,0
17690956,宜投基金_资金渠道_普通员工（终止合作）-04,229,宜投基金_资金渠道_普通员工（终止合作）,8,08,1
17691980,宜投基金_资金渠道_外部渠道（终止合作）-05,230,宜投基金_资金渠道_外部渠道（终止合作）,8,08,1
17691981,宜投基金_资金渠道_外部菁英（终止合作）-05,231,宜投基金_资金渠道_外部菁英（终止合作）,8,08,1
19210114,Externality_鑫亿宏元_资金渠道_外部菁英2级-01,232,Externality_鑫亿宏元_资金渠道_外部菁英2级,3,03,0.2
19217276,东莞贷_资金渠道_外部渠道（汇聚信）（终止合作）-01,233,东莞贷_资金渠道_外部渠道（汇聚信）（终止合作）,8,08,1
19261266,联合中瑞_资金渠道_外部渠道（机构组）（终止合作）-01,234,联合中瑞_资金渠道_外部渠道（机构组）（终止合作）,8,08,1
19415740,先锋支付_资金渠道_普通员工（大连）（终止合作）-01,235,先锋支付_资金渠道_普通员工（大连）（终止合作）,8,08,1
19416764,先锋支付_资金渠道_外部菁英（大连）（终止合作）-01,236,先锋支付_资金渠道_外部菁英（大连）（终止合作）,8,08,1
19784022,粤港贷_资金渠道_内部专职-04,237,粤港贷_资金渠道_内部专职,8,08,1
19784023,昌顺达_资金渠道_机构-39,238,昌顺达_资金渠道_机构,1,01,0
19784024,Externality_上海禅融_资金渠道_内部专职1级（终止合作）-04,239,Externality_上海禅融_资金渠道_内部专职1级（终止合作）,8,08,1
19792209,轻盈付_资金渠道_机构-29,240,轻盈付_资金渠道_机构,1,01,0
21307910,金融1号_资金渠道_内部专职（终止合作）-03,241,金融1号_资金渠道_内部专职（终止合作）,8,08,1
21613788,金融1号_资金渠道_外部菁英（终止合作）-03,242,金融1号_资金渠道_外部菁英（终止合作）,8,08,1
21613789,金融1号_资金渠道_外部渠道（终止合作）-03,243,金融1号_资金渠道_外部渠道（终止合作）,8,08,1
21613790,金融1号_资金渠道_普通员工（终止合作）-3,244,金融1号_资金渠道_普通员工（终止合作）,8,08,1
21613791,金融1号_平台_分站客户（撤站）-22,245,金融1号_平台_分站客户（撤站）,2,02,0.1
21613792,粤港贷_资金渠道_外部菁英-05,246,粤港贷_资金渠道_外部菁英,8,08,1
21613793,粤港贷_资金渠道_外部渠道-05,247,粤港贷_资金渠道_外部渠道,8,08,1
21613794,粤港贷_资金渠道_普通员工-05,248,粤港贷_资金渠道_普通员工,8,08,1
21613795,粤港贷_平台_分站客户-01,249,粤港贷_平台_分站客户,2,02,0.1
21618911,弘达北方_大连贷_资金渠道_内部专职（联合泰一）-01,250,弘达北方_大连贷_资金渠道_内部专职（联合泰一）,8,08,1
21618912,第一房贷_上海贷_资金渠道_外部菁英（众利财富-兼职）-01,251,第一房贷_上海贷_资金渠道_外部菁英（众利财富-兼职）,8,08,1
22253300,岱宗会_资金渠道_机构（终止合作）-01,252,岱宗会_资金渠道_机构（终止合作）,1,01,0
22535649,网信金服_资金渠道_机构（一分）-01,253,网信金服_资金渠道_机构（一分）,1,01,0
22535650,网信金服_资金渠道_机构（二分）-01,254,网信金服_资金渠道_机构（二分）,1,01,0
22535651,Externality_四川众行_资金渠道_内部专职3级（终止合作）-01,255,Externality_四川众行_资金渠道_内部专职3级（终止合作）,7,07,0.8
25548577,Externality_上海明瑰_资金渠道_内部专职（终止合作）-05,220,Externality_上海明瑰_资金渠道_内部专职（终止合作）,7,07,0.8
26280023,Externality_天文点_资金渠道_内部专职（终止合作）-04,256,Externality_天文点_资金渠道_内部专职（终止合作）,8,08,1
26280024,Externality_天文点_资金渠道_内部专职（终止合作）-06,256,Externality_天文点_资金渠道_内部专职（终止合作）,5,05,0.5
27135570,昌顺达_资金渠道_普通员工-38,257,昌顺达_资金渠道_普通员工,8,08,1
28112599,渠道运营部_普通资金渠道_外部菁英（一房离职专职）-04,258,渠道运营部_普通资金渠道_外部菁英（一房离职专职）,8,08,1
28121807,第一房贷_上海贷_资金渠道_内部专职（上海贷-专职）-04,259,第一房贷_上海贷_资金渠道_内部专职（上海贷-专职）,8,08,1
28121808,第一房贷_资金渠道_外部渠道（市场推广）-01,260,第一房贷_资金渠道_外部渠道（市场推广）,1,01,0
28777552,网信财富_资金渠道_机构（终止合作）-04,261,网信财富_资金渠道_机构（终止合作）,1,01,0
29423066,网信白泽_资金渠道_外部菁英（大连）-26,262,网信白泽_资金渠道_外部菁英（大连）,1,01,0
30165765,第一房贷_资金渠道_外部菁英（员工发展兼职）-04,263,第一房贷_资金渠道_外部菁英（员工发展兼职）,8,08,1
30178042,网信理财_平台用户_兼职理财师-01,264,网信理财_平台用户_兼职理财师,2,02,0.1
30178043,网信理财_平台用户_兼职理财师-02,264,网信理财_平台用户_兼职理财师,4,04,0.25
30178044,网信理财_平台用户_兼职理财师-03,264,网信理财_平台用户_兼职理财师,5,05,0.5
30178045,网信理财_平台用户_兼职理财师-04,264,网信理财_平台用户_兼职理财师,6,06,0.75
30178046,网信理财_平台用户_兼职理财师-05,264,网信理财_平台用户_兼职理财师,4,04,0.25
30178047,网信理财_平台用户_兼职理财师-06,264,网信理财_平台用户_兼职理财师,5,05,0.5
30178048,网信理财_平台用户_兼职理财师-07,264,网信理财_平台用户_兼职理财师,8,08,1
30197486,山东联合融资担保有限公司_资金渠道_内部专职（终止合作）-04,265,山东联合融资担保有限公司_资金渠道_内部专职（终止合作）,8,08,1
30197487,山东联合融资担保有限公司_资金渠道_外部菁英（终止合作）-05,266,山东联合融资担保有限公司_资金渠道_外部菁英（终止合作）,8,08,1
30202603,山东联合融资担保有限公司_资金渠道_外部渠道（终止合作）-05,267,山东联合融资担保有限公司_资金渠道_外部渠道（终止合作）,8,08,1
31458848,艺金融_资金渠道_外部菁英（离职）-01,268,艺金融_资金渠道_外部菁英（离职）,8,08,1
31458849,第一房贷_上海贷_资金渠道_机构-04,269,第一房贷_上海贷_资金渠道_机构,1,01,0
32783635,网信白泽_开放平台_卓越恒信理财师-01,270,网信白泽_开放平台_卓越恒信理财师,8,08,1
32783636,网信理财_市场活动_CPA_手机腾讯网-01,271,网信理财_市场活动_CPA_手机腾讯网,1,01,0
32783637,网信理财_市场活动_CPC-01,272,网信理财_市场活动_CPC,1,01,0
32791822,网信理财_市场活动_DSP_蓝色光标-01,273,网信理财_市场活动_DSP_蓝色光标,1,01,0
32791823,网信理财_市场活动_DSP-01,274,网信理财_市场活动_DSP,1,01,0
32791824,网信理财_市场活动_O2O-01,275,网信理财_市场活动_O2O,1,01,0
32791825,网信白泽_开放平台_喜试网-01,276,网信白泽_开放平台_喜试网,1,01,0
32791826,网信理财_市场活动_CPT-01,277,网信理财_市场活动_CPT,1,01,0
33204096,上海即富_平台_分站客户-01,278,上海即富_平台_分站客户,1,01,0
34418398,弘达北方_大连贷_资金渠道_外部渠道（通辽）-04,279,弘达北方_大连贷_资金渠道_外部渠道（通辽）,8,08,1
34418399,第一房贷_上海贷_资金渠道_外部渠道（同联地产）-04,280,第一房贷_上海贷_资金渠道_外部渠道（同联地产）,8,08,1
34423516,联合中瑞_资金渠道_外部渠道（康辉平台）（终止合作）-01,282,联合中瑞_资金渠道_外部渠道（康辉平台）（终止合作）,2,02,0.1
34430678,联合中瑞_资金渠道_外部菁英（康辉）（终止合作）-04,283,联合中瑞_资金渠道_外部菁英（康辉）（终止合作）,5,05,0.5
34439886,联合中瑞_资金渠道_普通员工（润歌）（终止合作）-04,284,联合中瑞_资金渠道_普通员工（润歌）（终止合作）,8,08,1
34804075,弘达北方_天津贷_资金渠道_普通员工（天津财富）-04,285,弘达北方_天津贷_资金渠道_普通员工（天津财富）,8,08,1
35500739,弘达财富_资金渠道_机构（用户分配）-04,286,弘达财富_资金渠道_机构（用户分配）,1,01,0
35500740,弘达财富_资金渠道_机构（用户分配）-06,286,弘达财富_资金渠道_机构（用户分配）,5,05,0.5
35500741,Externality_陕西盈聚_资金渠道_内部专职（终止合作）-04,287,Externality_陕西盈聚_资金渠道_内部专职（终止合作）,8,08,1
35500742,Externality_陕西盈聚_资金渠道_内部专职（终止合作）-06,287,Externality_陕西盈聚_资金渠道_内部专职（终止合作）,5,05,0.5
35893575,铛铛_开放平台_CPA+S-29,288,铛铛_开放平台_CPA+S,1,01,0
