借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A005531283,73915620,4068,52.80,3.12
消费贷A005537222,74041606,4068,31.55,1.12
消费贷A005539921,74185905,4068,11.95,0.13
消费贷A007318489,98512040,4068,435.03,3.44
消费贷A007323901,98634644,4068,8.76,0.06
消费贷A007344591,99151895,4068,8.76,0.06
消费贷A007352164,99393782,4068,8.76,0.06
消费贷A007353931,99509006,4068,25.95,0.39
消费贷A007353942,99509031,4068,34.72,0.4
消费贷A007354835,99540959,4068,17.01,0.12
消费贷A007357871,99685736,4068,17.39,0.19
消费贷A007360208,99773462,4068,1081.20,17.15
消费贷A005446721,73104082,4112,130.71,2.29
消费贷A004366506,71217932,4224,242.26,4.66
消费贷A005184578,72298774,4344,54.98,1.3
消费贷A005382582,72662255,4344,45.62,1.29
消费贷A005431071,72945199,4344,46.33,0.66
消费贷A005433141,72967849,4344,92.49,1.32
消费贷A005454009,73160727,4344,123.85,4.91
消费贷A005460745,73207837,4351,42.61,0.92
消费贷A005476753,73351726,4385,2179.56,47.87
消费贷A005436533,73001048,4487,923.60,13.29
消费贷A004379732,71225499,4545,163.71,3.15
消费贷A007372348,100339159,4586,50.55,0.7
消费贷A007376104,100541452,4586,67.15,1.17
消费贷A007377431,100607651,4586,1160.52,26.23
消费贷A005415409,72813809,4593,455.32,13.15
消费贷A005528011,73864502,4631,317.76,11.72
消费贷A005430605,72938835,4664,31.67,1.19
消费贷A005471178,73297554,4664,18.25,0.38
消费贷A005475953,73342111,4664,340.67,7.48
消费贷A005253637,72442574,4703,500.99,14.48
消费贷A005506805,73634446,4719,62.99,2
消费贷A007372557,100352349,4719,392.75,7.37
消费贷A005531201,73935035,4720,7.62,0.06
消费贷A005521903,73775166,4741,41.07,0.67
消费贷A007341742,99073172,4741,343.94,6.81
消费贷A005442243,73060421,4790,44.10,0.84
消费贷A005453041,73159402,4790,52.04,0.9
消费贷A005471259,73298304,4790,84.62,3.69
消费贷A005414285,72808552,4810,92.90,0.88
消费贷A005437709,73016838,4810,2281.88,88.29
消费贷A004592755,71512011,4817,914.88,22
消费贷A004738899,71707611,4817,285.38,5.47
消费贷A005429349,72925199,4817,22.98,0.21
消费贷A005431099,72945383,4817,230.11,3.3
消费贷A005432322,72958157,4817,233.86,3.36
消费贷A005433539,72971761,4834,159.75,6.14
消费贷A007343691,99123419,4850,625.54,4.95
消费贷A007343701,99123421,4850,2360.60,18.69
消费贷A005432308,72958059,4878,31.52,0.27
消费贷A005525994,73829220,4882,31.55,1.12
消费贷A007368942,100178802,4882,67.34,1.25
消费贷A007375794,100525968,4882,109.08,0.77
消费贷A005528016,73865377,4909,250.64,9.24
消费贷A005435850,72995357,5029,184.81,2.65
消费贷A007309119,98268832,5029,1035.81,16.42
消费贷A007330272,98735395,5029,1375.65,27.31
消费贷A007334819,98854327,5029,2141.00,51.09
消费贷A007345510,99190635,5029,1284.62,30.63
消费贷A007354974,99546039,5029,866.58,10.3
消费贷A007355348,99571713,5029,427.06,3.2
消费贷A004536580,71438624,5100,64.46,1.53
消费贷A004742830,71717956,5100,65.00,1.59
消费贷A005097758,72179416,5100,23.89,0.56
消费贷A005304656,72511940,5100,35.10,0.98
消费贷A005416226,72822407,5100,27.29,0.89
消费贷A005420663,72856063,5100,47.50,0.45
消费贷A005428236,72912614,5100,0.18,0
消费贷A005415235,72813138,5124,4.77,0.04
消费贷A005415239,72813139,5124,13.67,0.18
消费贷A007372331,100335902,5190,50.55,0.7
消费贷A007372331,100335908,5190,50.55,0.7
消费贷A007372331,100335920,5190,50.55,0.7
消费贷A007373363,100391823,5190,50.55,0.7
消费贷A007379046,100721114,5190,67.15,1.17
消费贷A005411699,72784429,5229,16.84,0.16
消费贷A007381617,100842432,5271,3820.14,100.88
消费贷A005539933,74186388,5289,192.40,1.52
消费贷A005434759,72982710,5305,59.99,0.85
消费贷A007378570,100693589,5305,20.08,0.14
消费贷A007307199,98214032,5345,226.40,3.58
消费贷A007307199,98214040,5345,27.05,0.42
消费贷A007350170,99334020,5345,320.84,6.35
消费贷A007372694,100356815,5345,301.31,5.66
消费贷A005425991,72895142,5365,27.29,0.89
消费贷A005436807,73004133,5429,12.31,0.16
消费贷A005468736,73269583,5467,286.12,6.27
消费贷A004035522,70745653,5525,156.64,3.01
