借款标题,投资记录ID,用户ID,还款金额（单位元，保留两位小数）,利息
消费贷A007355707,99593482,6927769,112.08,0.84
消费贷A007365428,100002301,6927769,180.72,2.03
消费贷A007367813,100120564,6927769,227.01,4.49
消费贷A007372306,100336787,6927769,205.57,3.86
消费贷A005418312,72837609,2144698,2708.93,91.57
消费贷A005468058,73263679,1463071,724.97,15.92
消费贷A005433025,72966456,4766238,25.52,0.36
消费贷A007370272,100241074,4766238,2688.76,38.16
消费贷A004200005,70968499,4218885,327.29,6.29
消费贷A005414873,72812124,9824206,81.44,2.72
消费贷A005427524,72906149,9824206,11.92,0.11
消费贷A005431468,72948705,9824206,2217.16,85.76
消费贷A005528190,73899182,9824206,225.35,8.3
消费贷A005528192,73899201,9824206,390.51,14.44
消费贷A005175583,72287665,4092585,548.97,13.2
消费贷A005387870,72673337,4092585,363.94,10.52
消费贷A005261190,72449020,3653768,527.02,15.2
消费贷A005260981,72449023,3653768,2194.32,63.46
消费贷A005412683,72795883,3653768,251.59,7.28
消费贷A005484280,73408947,1251400,2893.27,76.37
消费贷A004801461,71799316,10499946,918.92,22.68
消费贷A005413500,72805578,10499946,371.27,3.55
消费贷A005413535,72805731,10499946,630.99,6.04
消费贷A005415450,72814129,42837,171.87,1.65
消费贷A004366505,71214221,8605437,1052.26,20.22
消费贷A004575127,71501114,8605437,2556.46,61.52
消费贷A005436924,73006391,10428332,1629.9,63.06
消费贷A005415499,72815373,6817118,274.01,9.24
消费贷A005406205,72735312,7472014,550.37,15.91
消费贷A005421806,72864494,2146222,47.15,0.45
消费贷A005424192,72880368,2146222,11.75,0.11
消费贷A005489371,73457404,2146222,38.58,0.99
消费贷A005528229,73904580,2146222,170.54,6.27
消费贷A005531313,73928752,2146222,97.63,4.02
消费贷A007335784,98882627,2146222,58.59,1.38
消费贷A007367746,100114578,2146222,37.54,0.72
消费贷A007368284,100155277,2146222,69.10,1.28
消费贷A007369964,100227005,2146222,70.01,1.56
消费贷A007371101,100274415,2146222,62.01,1.14
消费贷A007373011,100375695,2146222,66.31,1.23
消费贷A007376112,100541280,2146222,126.22,2.83
消费贷A007376681,100571540,2146222,88.96,1.98
消费贷A007378522,100689474,2146222,131.41,2.95
消费贷A007378828,100710539,2146222,91.50,2.04
消费贷A007379192,100728103,2146222,59.53,1.54
消费贷A007379398,100737259,2146222,75.39,1.33
消费贷A007383960,100983857,12011313,593.1,6.3
消费贷A007369763,100217730,8046045,1529.23,28.76
消费贷A005437959,73021210,3579814,163.71,3.15
消费贷A005412027,72788588,7990708,3904.05,131.95
消费贷A005470565,73293644,11231196,456.67,20.18
消费贷A005387864,72673248,7274682,689.45,13.24
消费贷A005407727,72746868,7274682,776.32,22.42
消费贷A005422129,72866056,7274682,161.41,1.54
消费贷A005423642,72876031,7274682,484.09,4.63
消费贷A005424242,72881515,7274682,232.09,2.22
消费贷A005456637,73177543,7274682,211.59,3.7
消费贷A005468060,73263757,7274682,5.46,0.12
消费贷A005468060,73263706,11088664,424.71,9.32
消费贷A005511452,73690855,4806788,4385.3,110.22
消费贷A007367669,100110892,4607924,338.35,3.8
消费贷A007375347,100493897,4607924,3393.36,60.29
消费贷A004575162,71501860,9649224,3238.24,77.93
消费贷A007376659,100572014,3207836,482.49,10.89
消费贷A007337418,98938609,9275526,258.98,4.09
消费贷A007342375,99091434,9275526,435.03,3.44
消费贷A007353049,99423512,9275526,87.04,0.68
消费贷A007355592,99589200,9275526,17.39,0.19
消费贷A007368484,100160082,9275526,327.24,6.14
消费贷A007370363,100243356,9275526,34.38,0.62
消费贷A007370837,100268997,9275526,50.55,0.7
消费贷A007371472,100292914,9275526,16.99,0.12
消费贷A007372020,100317804,9275526,34.38,0.62
消费贷A007373032,100376834,9275526,34.38,0.62
消费贷A007373590,100403249,9275526,42.80,0.94
消费贷A007374035,100427244,9275526,42.80,0.94
消费贷A007374848,100467690,9275526,83.96,3.44
消费贷A007375712,100520186,9275526,42.80,0.94
消费贷A007376172,100543243,9275526,63.21,1.1
消费贷A004592989,71515180,3536712,593.7,14.28
消费贷A007378035,100661523,11997682,3878.45,87.68
消费贷A005419415,72845708,11114019,211.69,2.02
消费贷A007347055,99247064,875382,264.41,2.09
消费贷A005416621,72825855,3682906,274.54,6.59
消费贷A007374202,100435095,3682906,674.50,15.24
消费贷A004262352,71085432,3901300,163.71,3.15
消费贷A005469798,73281141,3886900,357.85,5.97
消费贷A005430297,72934956,11153186,3154.41,122.04
消费贷A004370103,71219872,6275202,387.00,7.42
